Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Total
Y0175-10,"Neave et al., 2019 (HAL)",IHPV,3,,1160,gl - ol - cp - pl,49.91,1.21,15.44,0.02,13.1,0.22,6.95,11.06,2.03,0.16,0.16,,100.25
Y0188-10,"Neave et al., 2019 (HAL)",IHPV,3,,1140,gl - ol - cp - pl - ca_px,48.92,1.53,15.09,0.01,13.65,0.27,6.55,10.28,2.26,0.24,0.41,,99.20
Y0210-8,"Neave et al., 2019 (HAL)",IHPV,3,,1180,gl - cp - pl,49.48,1.01,15.51,0.01,11.88,0.19,7.74,11.46,1.83,0.12,0.12,,99.22
Y0212-10,"Neave et al., 2019 (HAL)",IHPV,3,,1160,gl - cp - pl - ca_px,48.70,1.29,14.77,0.00,14.17,0.18,6.93,10.73,1.92,0.16,0.12,,98.86
Y0214-11,"Neave et al., 2019 (HAL)",IHPV,3,,1140,gl - cp - pl - ca_px,48.19,1.76,13.64,0.00,16.02,0.24,6.08,10.03,1.89,0.22,0.17,,98.07
Y0267-1,"Neave et al., 2019 (HAL)",IHPV,3,,1260,gl,49.60,0.68,15.85,0.10,8.64,0.16,10.14,13.39,1.45,0.07,0.09,0.09,100.17
Y0226-1,"Neave et al., 2019 (HAL)",IHPV,3,,1240,gl - ol ,49.53,0.67,16.01,0.08,8.69,0.18,9.74,13.62,1.50,0.08,0.07,,100.17
Y0218-1,"Neave et al., 2019 (HAL)",IHPV,3,,1220,gl - ol - pl,49.90,0.71,15.58,0.09,8.58,0.19,9.06,13.80,1.49,0.09,0.09,,99.46
Y0216-1,"Neave et al., 2019 (HAL)",IHPV,3,,1200,gl - ol - cp - pl,50.23,0.93,15.15,0.05,10.53,0.20,8.04,12.80,1.79,0.11,0.14,,99.98
Y0206-1,"Neave et al., 2019 (HAL)",IHPV,3,,1180,gl - ol - cp - pl,48.82,1.45,13.46,0.04,12.79,0.25,7.32,11.84,1.87,0.17,0.22,,98.22
Y0200-1,"Neave et al., 2019 (HAL)",IHPV,3,,1160,gl - ol - cp - pl,46.65,2.43,12.56,0.05,14.81,0.31,6.33,10.67,1.83,0.24,0.51,,96.38
Y0141-2,"Neave et al., 2019 (STA)",IHPV,3,,1260,gl,49.35,1.53,13.58,0.15,10.97,0.17,10.47,11.88,1.88,0.21,0.33,0.44,100.51
Y0142-6,"Neave et al., 2019 (STA)",IHPV,3,,1240,gl - ol,48.92,1.56,13.96,0.06,11.11,0.15,9.79,12.01,1.97,0.21,0.22,0.35,99.97
Y0145-5,"Neave et al., 2019 (STA)",IHPV,3,,1220,gl - ol,49.88,1.57,14.22,0.07,10.38,0.20,9.21,12.28,1.94,0.22,0.21,,100.18
Y0166-9,"Neave et al., 2019 (STA)",IHPV,3,,1200,gl - ol - cp,49.83,1.62,14.71,0.05,11.01,0.17,8.45,12.21,2.11,0.24,0.25,,100.64
Y0174-10,"Neave et al., 2019 (STA)",IHPV,3,,1180,gl - ol - cp,49.45,1.70,15.56,0.03,11.59,0.20,7.63,11.61,2.23,0.24,0.21,,100.46
Y0175-11,"Neave et al., 2019 (STA)",IHPV,3,,1160,gl - ol - cp - pl,49.13,1.89,15.31,0.04,12.83,0.23,7.04,11.00,2.42,0.31,0.23,,100.44
Y0188-11,"Neave et al., 2019 (STA)",IHPV,3,,1140,gl - ol - cp - pl - ca_px,48.50,2.38,14.55,0.01,13.76,0.21,6.30,9.78,2.41,0.37,0.36,,98.28
Y0210-6,"Neave et al., 2019 (STA)",IHPV,3,,1180,gl - cp,49.15,1.55,15.17,0.00,11.67,0.18,7.60,11.61,2.18,0.24,0.23,,99.36
Y0212-12,"Neave et al., 2019 (STA)",IHPV,3,,1160,gl - ol - pl,48.35,1.86,14.77,0.00,13.08,0.17,7.17,10.52,2.28,0.28,0.35,,98.48
Y0214-9,"Neave et al., 2019 (STA)",IHPV,3,,1140,gl - cp - pl - ca_px,47.46,2.34,14.02,0.00,14.93,0.19,6.30,9.88,2.35,0.37,0.46,,97.84
Y0267-2,"Neave et al., 2019 (STA)",IHPV,3,,1260,gl - ol,49.19,1.50,13.68,0.09,10.69,0.18,10.30,11.86,1.90,0.22,0.21,0.10,99.81
Y0226-2,"Neave et al., 2019 (STA)",IHPV,3,,1240,gl - ol,49.26,1.56,13.99,0.08,10.75,0.18,9.27,12.19,1.99,0.21,0.21,,99.68
Y0218-2,"Neave et al., 2019 (STA)",IHPV,3,,1220,gl - ol,49.69,1.56,14.28,0.08,10.4,0.20,8.70,12.47,2.16,0.23,0.22,,99.77
Y0216-2,"Neave et al., 2019 (STA)",IHPV,3,,1200,gl - ol - cp,49.90,1.64,14.97,0.07,10.27,0.20,7.84,12.39,2.14,0.23,0.21,,99.64
Y0206-2,"Neave et al., 2019 (STA)",IHPV,3,,1180,gl - ol - cp - pl,49.45,2.34,14.26,0.03,12.4,0.22,6.70,11.30,2.26,0.32,0.32,,99.60
Y0200-2,"Neave et al., 2019 (STA)",IHPV,3,,1160,gl - ol - cp - pl,48.67,3.21,13.29,0.03,14.16,0.26,5.91,10.40,2.32,0.42,0.50,,99.17
Y0204-2,"Neave et al., 2019 (STA)",IHPV,3,,1140,gl - ol - cp - pl,46.65,4.21,12.04,0.02,14.94,0.26,5.41,9.86,2.26,0.60,0.75,,96.99
B0188-3,"Neave and Bali et al., 2019",IHPV,1,,1140,gl,50.23,1.76,14.11,0.15,12.43,0.23,6.82,11.95,2.27,0.20,0.18,,100.34
Y0185-11,"Neave and Bali et al., 2019",IHPV,1,,1160,gl,50.44,1.75,13.86,0.02,11.02,0.22,6.89,11.79,2.26,0.20,0.18,1.05,98.63
Y0186-2,"Neave and Bali et al., 2019",IHPV,1,,1180,gl,50.74,1.75,14.35,0.01,11.59,0.20,7.01,11.97,2.27,0.20,0.25,0.75,100.35
Y0187-5,"Neave and Bali et al., 2019",IHPV,1,,1200,gl,50.46,1.81,14.16,0.03,12.38,0.24,6.99,11.75,2.30,0.21,0.12,0.61,100.45
Y0205-2,"Neave and Bali et al., 2019",IHPV,3,,1140,gl - cp - pl,50.46,1.78,14.05,0.02,13.04,0.23,6.84,11.62,2.28,0.21,0.12,0.50,100.65
Y0201-2,"Neave and Bali et al., 2019",IHPV,3,,1160,gl - cp,49.22,2.43,13.63,0.00,15.69,0.28,5.75,9.70,2.61,0.28,0.24,,99.83
Y0174-7,"Neave and Bali et al., 2019",IHPV,3,,1180,gl,49.98,1.85,14.62,0.01,12.8,0.24,6.20,11.16,2.42,0.20,0.17,,99.64
Y0166-10,"Neave and Bali et al., 2019",IHPV,3,,1200,gl,50.27,1.76,14.20,0.02,12.52,0.22,6.78,11.74,2.29,0.20,0.16,0.64,100.15
B0187-8,"Neave and Bali et al., 2019",IHPV,6,,1140,gl - cp - pl,50.68,1.76,14.11,0.02,11.95,0.20,6.95,11.86,2.32,0.21,0.21,0.68,100.28
B0183-4,"Neave and Bali et al., 2019",IHPV,6,,1160,gl - cp,50.36,2.29,15.62,0.01,13.37,0.22,5.02,9.58,2.70,0.26,0.20,,99.63
B0167-1,"Neave and Bali et al., 2019",IHPV,6,,1180,gl - cp,50.37,1.93,15.56,0.01,11.41698342,0.22,5.68,10.76,2.57,0.22,0.25,,99.00
B0184-10,"Neave and Bali et al., 2019",IHPV,6,,1200,gl - cp,50.37,1.90,15.19,0.01,12.3,0.23,5.97,11.09,2.49,0.22,0.17,,99.94
Y0272-1,"Neave and Bali et al., 2019",IHPV,1,,1140,gl - ol - cp - pl,50.26,1.79,14.11,0.02,11.88878916,0.22,6.75,11.66,2.32,0.20,0.14,,99.36
Y0287-1,"Neave and Bali et al., 2019",IHPV,1,,1160,gl - ol - cp - pl,50.05,2.47,12.69,0.01,14.96537519,0.29,5.53,10.84,2.30,0.25,0.18,,99.57
Y0281-1,"Neave and Bali et al., 2019",IHPV,1,,1180,gl,50.00,2.13,13.21,0.01,13.88237111,0.26,6.10,11.45,2.20,0.21,0.18,,99.63
Y0204-3,"Neave and Bali et al., 2019",IHPV,3,,1140,gl - ol - cp - pl,50.51,1.77,14.16,0.02,12.37228977,0.26,6.84,11.87,2.17,0.19,0.13,0.04,100.30
Y0200-3,"Neave and Bali et al., 2019",IHPV,3,,1160,gl - cp - pl,48.54,3.09,12.48,0.01,17.65,0.31,5.35,9.89,2.50,0.34,0.30,,100.45
Y0206-3,"Neave and Bali et al., 2019",IHPV,3,,1180,gl - cp,49.30,2.50,13.16,0.01,15.79,0.25,5.75,10.35,2.54,0.27,0.24,,100.16
Y0216-3,"Neave and Bali et al., 2019",IHPV,3,,1200,gl,50.61,1.84,14.52,0.01,12.71,0.23,6.64,11.48,2.41,0.22,0.18,,100.85
Y0218-3,"Neave and Bali et al., 2019",IHPV,3,,1220,gl,50.10,1.74,14.04,0.01,12.08374435,0.23,6.84,11.76,2.36,0.21,0.17,0.08,99.38
#18,"Voigt et al., 2017",1atm_furnace,0.001,,1175,gl - ol - cp - pl,50.50,1.34,14.32,0.0177,10.60,,7.36,12.61,2.65,,,,99.38
#18,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl - sp,50.24,1.40,14.12,0.0499,11.23,,7.31,12.09,2.60,,,,99.05
#20,"Voigt et al., 2017",1atm_furnace,0.001,,1190,gl - ol - pl,49.70,1.15,14.78,0.0259,10.58,,8.00,13.13,2.45,,,,99.81
#20,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl,50.95,1.14,14.85,0.0680,9.35,,8.11,12.81,2.44,,,,99.72
#22,"Voigt et al., 2017",1atm_furnace,0.001,,1204,gl - ol - pl,48.86,1.04,15.82,0.0136,9.94,,8.61,12.99,2.19,,,,99.47
#22,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl,50.11,0.90,16.33,0.0771,7.92,,9.07,12.88,2.12,,,,99.41
#24,"Voigt et al., 2017",1atm_furnace,0.001,,1205,gl - ol - pl,49.72,1.02,15.82,0.0080,8.76,,8.96,12.98,2.16,,,,99.43
#24,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - pl,48.98,0.90,15.49,0.0026,8.74,,9.45,13.82,2.07,,,,99.45
#26,"Voigt et al., 2017",1atm_furnace,0.001,,1175,gl - ol - cp - pl,50.82,1.27,14.03,0.0025,10.43,,7.25,12.45,2.56,,,,98.79
#26,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl,50.39,1.28,14.10,0.0010,10.72,,7.17,12.54,2.78,,,,98.99
#29,"Voigt et al., 2017",1atm_furnace,0.001,,1190,gl - ol - cp - pl,50.63,1.12,14.84,0.0089,9.38,,7.91,12.96,2.41,,,,99.25
#29,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - pl,49.40,1.01,14.61,0.0057,9.63,,8.45,13.94,2.30,,,,99.33
#32,"Voigt et al., 2017",1atm_furnace,0.001,,1186,gl - ol - cp - pl,49.46,1.21,14.52,0.0028,10.53,,7.82,13.03,2.35,,,,98.92
#32,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl - sp,50.15,1.28,14.64,0.0946,9.31,,8.01,13.17,2.23,,,,98.89
#34,"Voigt et al., 2017",1atm_furnace,0.001,,1186,gl - ol - pl,50.78,1.24,14.48,0.0129,8.93,,8.19,13.31,2.04,,,,98.99
#34,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl - sp,51.69,1.25,14.53,0.0931,8.46,,8.23,12.95,1.94,,,,99.15
#36,"Voigt et al., 2017",1atm_furnace,0.001,,1188,gl - ol - pl,50.32,1.15,14.59,0.0083,9.67,,8.11,13.30,2.17,,,,99.31
#36,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl,49.66,1.20,14.40,0.0024,10.33,,7.96,13.89,2.24,,,,99.69
#37,"Voigt et al., 2017",1atm_furnace,0.001,,1190,gl - ol - pl,50.11,1.18,14.55,0.0057,9.82,,8.06,13.33,2.23,,,,99.28
#37,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl,49.68,1.21,14.27,0.0028,10.47,,8.01,13.87,2.29,,,,99.81
#57,"Voigt et al., 2017",1atm_furnace,0.001,,1205,gl - ol - pl,47.72,1.16,14.14,0.0118,10.99,,8.59,12.84,2.12,,,,97.57
#57,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl - sp,48.65,1.20,14.06,0.0303,9.54,,9.19,12.30,2.21,,,,97.19
#57,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl,47.57,1.19,13.93,0.0082,10.77,,8.79,13.01,2.30,,,,97.58
#60,"Voigt et al., 2017",1atm_furnace,0.001,,1217,gl - ol - pl,48.94,1.07,14.83,0.0182,9.56,,9.08,12.55,2.24,,,,98.28
#60,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl - sp,50.49,0.95,15.21,0.0470,7.44,,9.30,12.29,2.29,,,,98.03
#60,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - pl,48.84,0.95,14.65,0.0203,8.99,,9.79,13.20,2.23,,,,98.67
#63,"Voigt et al., 2017",1atm_furnace,0.001,,1198,gl - ol - cp - pl,48.33,1.29,13.75,0.0092,10.83,,8.54,12.26,2.31,,,,97.32
#63,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl - sp,49.91,1.35,14.37,0.0319,9.72,,8.79,11.78,2.39,,,,98.34
#63,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl,48.13,1.26,13.89,0.0503,10.97,,8.52,12.29,2.45,,,,97.56
#67,"Voigt et al., 2017",1atm_furnace,0.001,,1205,gl - ol - pl,49.53,1.18,14.31,0.0104,9.96,,8.44,12.69,2.30,,,,98.41
#67,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl - sp,50.89,1.03,14.88,0.0356,8.38,,9.16,11.80,2.26,,,,98.44
#67,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl,49.56,1.13,14.35,0.0185,9.41,,8.45,13.08,2.38,,,,98.38
#78,"Voigt et al., 2017",1atm_furnace,0.001,,1206,gl - ol - pl,48.39,1.14,14.19,0.0050,11.08,,8.89,12.92,2.34,,,,98.96
#78,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl - sp,49.44,1.18,14.24,0.0279,9.35,,9.23,12.37,2.44,,,,98.27
#78,"Voigt et al., 2017",1atm_furnace,0.001,,,gl - ol - cp - pl,48.35,1.17,13.96,0.0118,11.21,,9.11,13.04,2.39,,,,99.23
VFEB02,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.54,1.28,18.55,0.00,5.263570177,0.15,3.74,7.46,5.55,2.01,0.46,0.00,100.00
VFEB02,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.48,1.27,18.56,0.00,5.272805267,0.15,3.75,7.47,5.56,2.02,0.45,0.00,100.00
VFEB02,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.42,1.27,18.57,0.00,5.282025378,0.15,3.76,7.48,5.58,2.04,0.45,0.00,100.00
VFEB02,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.85,1.22,18.68,0.00,5.361415413,0.18,3.86,7.56,5.71,2.14,0.44,0.00,100.00
VFEB02,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.97,1.23,18.66,0.00,5.34351325,0.18,3.84,7.54,5.69,2.12,0.44,0.00,100.00
VFEB02,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.26,1.25,18.60,0.00,5.303604207,0.16,3.79,7.50,5.62,2.07,0.45,0.00,100.00
VFEB02,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.23,1.25,18.61,0.00,5.308209482,0.16,3.80,7.50,5.62,2.07,0.45,0.00,100.00
VFEB02,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.34,1.26,18.59,0.00,5.292820141,0.16,3.78,7.49,5.60,2.05,0.45,0.00,100.00
VFEB02,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.04,1.24,18.64,0.00,5.334840047,0.17,3.83,7.53,5.67,2.11,0.44,0.00,100.00
VFEB02,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.16,1.25,18.62,0.00,5.318192775,0.17,3.81,7.52,5.64,2.09,0.44,0.00,100.00
VFEB07,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.29,1.30,17.50,0.00,5.658919778,0.20,4.22,8.67,5.47,2.24,0.45,0.00,100.00
VFEB07,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.39,1.41,17.29,0.00,5.489616335,0.14,4.02,8.47,5.25,2.10,0.45,0.00,100.00
VFEB07,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.34,1.31,17.50,0.01,5.648105852,0.20,4.21,8.65,5.45,2.24,0.44,0.00,100.00
VFEB07,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.88,1.36,17.38,0.00,5.563015977,0.17,4.11,8.55,5.37,2.20,0.43,0.00,100.00
VFEB07,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.95,1.37,17.37,0.00,5.55422244,0.16,4.09,8.54,5.35,2.18,0.42,0.00,100.00
VFEB07,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.62,1.34,17.44,0.00,5.606654169,0.18,4.16,8.61,5.41,2.21,0.43,0.00,100.00
VFEB07,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.17,1.39,17.33,0.00,5.521959054,0.15,4.06,8.51,5.30,2.14,0.43,0.00,100.00
VFEB07,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.48,1.32,17.47,0.01,5.627395883,0.19,4.18,8.63,5.43,2.23,0.44,0.00,100.00
VFEB07,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.03,1.37,17.35,0.00,5.542504464,0.16,4.08,8.53,5.34,2.17,0.43,0.00,100.00
VFEB07,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.71,1.34,17.42,0.00,5.590852225,0.18,4.14,8.59,5.39,2.21,0.43,0.00,100.00
VFEB08,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.52,1.39,17.19,0.01,6.006506623,0.20,4.67,9.34,5.15,2.10,0.43,0.00,100.00
VFEB08,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.52,1.49,16.99,0.00,5.849838228,0.14,4.47,9.15,4.98,1.98,0.43,0.00,100.00
VFEB08,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.94,1.44,17.09,0.00,5.936704988,0.17,4.58,9.25,5.09,2.07,0.42,0.00,100.00
VFEB08,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.07,1.45,17.07,0.00,5.917142334,0.17,4.56,9.23,5.07,2.06,0.42,0.00,100.00
VFEB08,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.36,1.48,17.02,0.00,5.874726148,0.15,4.51,9.18,5.01,2.01,0.41,0.00,100.00
VFEB08,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.94,1.43,17.10,0.01,5.940772889,0.18,4.59,9.26,5.08,2.05,0.42,0.00,100.00
VFEB08,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.44,1.48,17.01,0.00,5.862287308,0.15,4.49,9.17,4.99,1.99,0.42,0.00,100.00
VFEB08,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.94,1.43,17.10,0.00,5.938738749,0.17,4.59,9.26,5.09,2.06,0.42,0.00,100.00
VFEB08,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.25,1.47,17.04,0.00,5.889746036,0.16,4.52,9.20,5.03,2.02,0.42,0.00,100.00
VFEB08,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.15,1.46,17.06,0.00,5.906771994,0.16,4.55,9.22,5.05,2.03,0.41,0.00,100.00
VFEB09,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.87,1.59,16.73,0.00,5.930699115,0.14,4.67,10.04,4.73,1.90,0.41,0.00,100.00
VFEB09,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.71,1.47,16.93,0.00,6.12033967,0.20,4.91,10.29,4.93,2.04,0.40,0.00,100.00
VFEB09,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.81,1.59,16.74,0.00,5.940844772,0.14,4.68,10.06,4.74,1.91,0.40,0.00,100.00
VFEB09,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.79,1.59,16.74,0.00,5.944896395,0.14,4.68,10.06,4.74,1.91,0.39,0.00,100.00
VFEB09,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.75,1.58,16.75,0.00,5.950974202,0.14,4.69,10.07,4.75,1.92,0.39,0.00,100.00
VFEB09,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.81,1.59,16.74,0.00,5.940840006,0.14,4.68,10.06,4.74,1.91,0.40,0.00,100.00
VFEB09,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.23,1.52,16.84,0.00,6.035907031,0.17,4.80,10.18,4.84,1.98,0.39,0.00,100.00
VFEB09,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.81,1.59,16.74,0.00,5.940842389,0.14,4.68,10.06,4.74,1.91,0.40,0.00,100.00
VFEB09,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.51,1.55,16.79,0.00,5.990473522,0.16,4.74,10.12,4.79,1.95,0.39,0.00,100.00
VFEB09,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.78,1.58,16.74,0.00,5.945909133,0.14,4.69,10.06,4.75,1.91,0.39,0.00,100.00
VEFB06,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.34,1.46,17.91,0.00,5.677546943,0.13,3.79,7.59,5.63,2.05,0.42,0.00,100.00
VEFB06,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.28,1.45,17.92,0.00,5.687449479,0.13,3.80,7.60,5.64,2.07,0.42,0.00,100.00
VEFB06,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.71,1.40,18.02,0.00,5.773004128,0.16,3.90,7.69,5.77,2.17,0.41,0.00,100.00
VEFB06,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.83,1.41,18.00,0.00,5.753683215,0.16,3.87,7.67,5.75,2.15,0.41,0.00,100.00
VEFB06,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.90,1.42,17.99,0.00,5.744543697,0.15,3.86,7.66,5.73,2.14,0.40,0.00,100.00
VEFB06,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.12,1.44,17.95,0.00,5.711085932,0.14,3.83,7.63,5.68,2.10,0.41,0.00,100.00
VEFB06,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,55.09,1.43,17.95,0.00,5.71602703,0.14,3.83,7.63,5.69,2.10,0.41,0.00,100.00
VEFB06,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.91,1.42,17.99,0.00,5.742080255,0.15,3.86,7.66,5.73,2.13,0.41,0.00,100.00
VEFB06,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.96,1.42,17.98,0.00,5.734869075,0.15,3.85,7.65,5.72,2.13,0.41,0.00,100.00
VEFB06,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,54.90,1.42,17.99,0.00,5.743312021,0.15,3.86,7.66,5.73,2.14,0.41,0.00,100.00
VEFB010,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.15,1.46,16.75,0.00,6.929110416,0.18,5.57,9.29,5.24,2.01,0.42,0.00,100.00
VEFB010,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.26,1.58,16.56,0.00,6.728965827,0.12,5.32,9.08,5.04,1.88,0.42,0.00,100.00
VEFB010,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.19,1.47,16.75,0.01,6.916327388,0.17,5.56,9.27,5.23,2.01,0.41,0.00,100.00
VEFB010,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.74,1.53,16.64,0.00,6.815914806,0.15,5.43,9.17,5.15,1.97,0.40,0.00,100.00
VEFB010,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.81,1.54,16.63,0.00,6.805487578,0.14,5.42,9.16,5.14,1.96,0.39,0.00,100.00
VEFB010,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.48,1.50,16.69,0.00,6.867417854,0.16,5.49,9.22,5.19,1.99,0.41,0.00,100.00
VEFB010,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,53.03,1.56,16.60,0.00,6.767281189,0.13,5.37,9.12,5.09,1.92,0.40,0.00,100.00
VEFB010,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.34,1.49,16.72,0.01,6.891894643,0.17,5.53,9.25,5.21,2.00,0.41,0.00,100.00
VEFB010,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.89,1.55,16.62,0.00,6.791621075,0.14,5.40,9.15,5.12,1.95,0.40,0.00,100.00
VEFB010,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.57,1.51,16.68,0.00,6.848752149,0.16,5.47,9.21,5.17,1.98,0.40,0.00,100.00
VEFB011,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.00,1.61,16.54,0.00,7.192834433,0.15,5.69,9.65,4.86,1.91,0.40,0.00,100.00
VEFB011,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.57,1.67,16.46,0.00,7.090313091,0.12,5.56,9.55,4.75,1.82,0.42,0.00,100.00
VEFB011,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,51.51,1.55,16.64,0.01,7.28613936,0.17,5.81,9.75,4.93,1.94,0.41,0.00,100.00
VEFB011,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,51.93,1.60,16.55,0.00,7.204319299,0.15,5.70,9.66,4.87,1.92,0.40,0.00,100.00
VEFB011,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.06,1.61,16.53,0.00,7.181340314,0.15,5.67,9.64,4.85,1.91,0.40,0.00,100.00
VEFB011,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.03,1.61,16.54,0.00,7.18708853,0.15,5.68,9.64,4.86,1.91,0.40,0.00,100.00
VEFB011,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,52.31,1.64,16.49,0.00,7.135904199,0.14,5.61,9.59,4.80,1.86,0.41,0.00,100.00
VEFB011,"Mollo et al., 2013",1atm_furnace,0.001,,1100,gl - cp - sp,51.77,1.58,16.59,0.01,7.236692844,0.16,5.74,9.70,4.89,1.92,0.40,0.00,100.00
