Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Total
64-002,Yang1996,1atm_furnace,0.001,0.00001,1128,gl - ol - cp - pl,49.3,3.92,11.8,,14,0.28,5.43,9.59,2.93,0.35,0.36,,97.96
64-002,Yang1996,1atm_furnace,0.001,0.00001,1110,gl - ol - cp - pl,48.4,5.28,11.2,,15.4,0.23,4.99,9.4,2.76,0.43,0.49,,98.58
61-002,Yang1996,1atm_furnace,0.001,0.00001,1160,gl - ol - cp - pl,50.4,2.27,13.3,,11.9,0.23,6.71,11.2,2.73,0.19,0.26,,99.19
61-002,Yang1996,1atm_furnace,0.001,0.00001,1140,gl - ol - cp - pl,50,2.98,12.8,,13.1,0.28,6.06,10.5,2.91,0.31,0.26,,99.2
61-002,Yang1996,1atm_furnace,0.001,0.00001,1128,gl - ol - cp - pl,49.8,3.33,12.2,,14.3,0.25,5.29,9.73,3.08,0.37,0.32,,98.67
61-002,Yang1996,1atm_furnace,0.001,0.00001,1110,gl - ol - cp - pl,49.2,4.33,11.4,,15.8,0.26,4.74,9.16,3.02,0.43,0.44,,98.78
RE-46,Yang1996,1atm_furnace,0.001,0.00001,1225,gl - ol - pl,50,0.55,15.2,,8.52,0.18,10.1,14.1,1.14,0.01,0.12,,99.92
RE-46,Yang1996,1atm_furnace,0.001,0.00001,1207,gl - ol - pl,50.1,0.58,14.8,,9.17,0.1,9.43,14.1,1.42,0.02,0.1,,99.82
RE-46,Yang1996,1atm_furnace,0.001,0.00001,1198,gl - ol - cp - pl,51.2,0.8,14,,10.1,0.19,8.81,13.4,1.46,0.03,0.11,,100.1
RE-46,Yang1996,1atm_furnace,0.001,0.00001,1170,gl - ol - cp - pl,52,1.15,13.3,,12.2,0.22,7.31,12,1.61,0.02,0.14,,99.95
RE-46,Yang1996,1atm_furnace,0.001,0.00001,1179,gl - ol - cp - pl,51.3,0.85,14,,11,0.21,8,12.7,1.8,0.04,0.12,,100.02
RE-46,Yang1996,1atm_furnace,0.001,0.5,1202,gl - ol - cp - pl,50.5,0.68,14.1,,9.57,0.14,9.04,14.1,1.58,0.03,0.12,,99.86
MA,Putirka1996,Piston Cylinder,8,0.5,1225,gl - cp,49.85,1.48,17.78,0.02,10.33,0.18,7.11,9.89,3.06,0.14,,,99.84
MA,Putirka1996,Piston Cylinder,10,0.5,1250,gl - cp,49.76,1.5,17.27,0,10.26,0.17,7.36,10,3.08,0.1,,,99.5
MA,Putirka1996,Piston Cylinder,10,0.5,1270,gl - cp,49.9,1.59,17.16,0.01,10.31,0.16,7.21,9.95,2.95,0.12,,,99.36
MA,Putirka1996,Piston Cylinder,12,0.5,1275,gl -  cp - pl,49.84,1.58,18.06,0.03,10.7,0.19,6.76,9.41,3.19,0.16,,,99.92
A,Putirka1996,Piston Cylinder,8,0.5,1200,gl - ol - cp,46.67,4.34,15.08,0.01,14.2,0.17,6.27,8.08,3.29,1.2,,,99.31
A,Putirka1996,Piston Cylinder,10,0.5,1300,gl -  cp - pl,46.59,3.54,13.55,0.07,13.38,0.2,8.9,9.46,2.76,0.86,,,99.31
A,Putirka1996,Piston Cylinder,12,0.5,1320,gl - ol - cp,45.06,3.82,13.39,0.04,14.36,0.18,8.98,8.72,3.16,0.92,,,98.63
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1146,gl - ol - pl,48.3,3.3,12.6,,14.2,,5.83,10.6,2.61,0.33,,,97.77
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1130,gl - ol - cp - pl,48.17,4.2,11.8,,15.73,,5.17,10.56,2.57,0.55,,,98.75
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1158,gl - ol - pl,48.5,3.25,13.79,,13.59,,6.5,10.5,2.55,0.32,,,99
