Experiment,Reference,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),Na2O+K2O
ALV-525-4b-4,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1156,gl-ol-cp-pl,50.6,1.91,12.7,12.5,0.12,6.68,11,2.02,0.21,,,0.03,97.77,6.68,4.2654,2.0354,4.45,2.23
AII-32-12-6-16,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1230,gl,50.3,1.14,14.8,8.43,0.14,9.41,12,2.19,0.39,,,0.09,98.89,6.44,4.1112,1.5312,3.86,2.58
AII-32-12-6-11,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1214,gl-ol-sp,50,1.13,14.7,9.17,0.17,9.18,11.8,2.14,0.37,,,0.09,98.75,6.2,3.957,1.447,3.69,2.51
AII-32-12-6-14,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1210,gl-ol-sp,50.6,1.14,15,8.69,0.12,9.12,11.8,2.09,0.37,,,0.13,99.06,6.68,4.2654,1.8054,4.22,2.46
AII-32-12-6-4,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1205,gl-ol-sp,50.7,1.27,15.3,8.58,0.15,8.61,12.2,1.95,0.4,,,0.08,99.24,6.76,4.3168,1.9668,4.41,2.35
AII-32-12-6-9,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1201,gl-ol-sp,51.4,1.12,15.4,8.62,0.17,8.55,11.5,2.13,0.41,,,0.12,99.42,7.32,4.6766,2.1366,4.78,2.54
AII-32-12-6-8,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1193,gl-ol-cp-pl-sp,53.1,1.41,14.3,7.87,0.18,8.13,11.8,1.69,0.41,,,0.1,98.99,8.68,5.5504,3.4504,6.58,2.1
AII-32-12-6-10,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1181,gl-ol-cp-pl-sp,52.1,1.36,14.3,9.46,0.18,7.8,11.5,1.76,0.41,,,0.12,98.99,7.88,5.0364,2.8664,5.71,2.17
AII-32-12-6-2,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1176,gl-ol-cp-pl,51,1.8,14,10.4,0.19,7.01,11.4,2.11,0.48,,,0.03,98.42,7,4.471,1.881,4.41,2.59
AII-32-12-6-3,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1174,gl-ol-cp-pl,51.6,1.58,13.9,9.68,0.16,7.71,11.8,1.69,0.38,,,0.06,98.56,7.48,4.7794,2.7094,5.41,2.07
AII-32-12-6-1,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1166,gl-ol-cp-pl,52.9,2.09,13.9,10.2,0.2,6.92,10.8,1.8,0.49,,,0.04,99.34,8.52,5.4476,3.1576,6.23,2.29
AII-32-12-6-5,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1165,gl-ol-cp-pl,51.8,1.93,13.8,9.65,0.21,7.2,11.4,2.1,0.54,,,0.04,98.67,7.64,4.8822,2.2422,5,2.64
AII-32-12-6-12,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1151,gl-ol-cp-pl,52.1,1.73,13.8,10.4,0.2,6.63,11.2,2.44,0.58,,,0.07,99.15,7.88,5.0364,2.0164,4.86,3.02
II-96-6-42-11,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1214,gl,51,1.31,16.2,8.99,0.17,7.24,11.5,2.44,0.21,,,0.09,99.15,7,4.471,1.821,4.35,2.65
II-96-6-42-4,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1205,gl-pl,51.5,1.51,15.3,8.45,0.16,7.72,11.5,2.08,0.24,,,0.05,98.51,7.4,4.728,2.408,5.08,2.32
II-96-6-42-9,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1201,gl-pl,50.8,1.27,15.9,9.58,0.15,7.33,11,2.56,0.25,,,0.07,98.91,6.84,4.3682,1.5582,4.03,2.81
II-96-6-42-8,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1193,gl-pl,50.7,1.3,15.4,10.5,0.15,7.54,10.9,2.14,0.23,,,0.09,98.95,6.76,4.3168,1.9468,4.39,2.37
II-96-6-42-10,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1181,gl-ol-pl,51.9,1.5,14.7,9.52,0.2,7.68,11,2.04,0.23,,,0.1,98.87,7.72,4.9336,2.6636,5.45,2.27
II-96-6-42-2,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1176,gl-ol-pl,50.6,1.74,13.7,11.6,0.17,7.05,11.3,2.06,0.23,,,0.06,98.51,6.68,4.2654,1.9754,4.39,2.29
II-96-6-42-3,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1174,gl-ol-pl,51.6,1.74,14.1,10,0.17,7.39,11.4,2.01,0.21,,,0.04,98.66,7.48,4.7794,2.5594,5.26,2.22
II-96-6-42-1,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1166,gl-ol-cp-pl,52,2.33,13.9,10.2,0.2,6.81,11,1.79,0.3,,,0.01,98.54,7.8,4.985,2.895,5.71,2.09
II-96-6-42-5,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1165,gl-ol-cp-pl,51.9,1.93,13.8,9.78,0.18,7.11,11.3,2.42,0.29,,,0.03,98.74,7.72,4.9336,2.2236,5.01,2.71
II-96-6-42-12,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1151,gl-ol-cp-pl,51.5,1.77,13.6,11,0.21,6.58,11,2.71,0.28,,,0.05,98.7,7.4,4.728,1.738,4.41,2.99
II-96-6-42-6,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1137,gl-ol-cp-pl,51.2,2.66,12.6,12.8,0.21,6.16,10,2.12,0.34,,,0.02,98.11,7.16,4.5738,2.1138,4.7,2.46
6-B-12,"Gee, L.L., Sack, R.O. (1988)",0.001,,1080.2,gl-ol-cp-sp-Lc-Nph,43.14,2.44,18.58,6.472726,0.21,4.12,10.21,6.15,6.52,1.48,,0.01,99.47,0.712,0.43096,-12.23904,-11.958,12.67
6-B-10,"Gee, L.L., Sack, R.O. (1988)",0.001,,1080.2,gl-ol-cp-sp-Lc-Nph,42.87,2.52,17.52,10.370602,0.27,4.22,11.23,5.45,5.22,1.25,,0.04,101.16,0.496,0.29218,-10.37782,-10.174,10.67
